SOL,MINIMUM,MAXIMUM,MEDIAN,MEAN,MODE,STD
82,0.41,9.09,3.55,3.28039819955978,0.83,2.38585926465371
107,0.65,6.82,4.18,3.2082426210639,1.24,1.8546067325604
157,0.43,8.26,2.23,2.80942898550725,0.5,1.86484114708737
32,0.63,9.24,1.925,2.40641414141414,0.68,1.73779062530157
132,0.65,9.79,2.61,2.77430486354431,0.72,1.58077673174592
81,0.29,11.51,4.29,3.61467489233532,0.38,2.36891877402102
106,0.76,6.9,3.21,3.14877222828531,1.02,1.72437395009921
57,0.45,15.11,1.17,2.46732170186712,0.55,2.9509646422326
156,0.47,7.17,2.43,2.5153759362243,0.51,1.61040237190031
31,0.67,18.38,3.08,5.16349639816636,0.72,4.46537951506809
80,0.31,11.94,4.65,3.71213047260074,0.36,2.3642995941204
131,0.44,6.14,2.93,3.00775464195129,0.94,1.89834383972864
105,0.64,7.58,2.63,2.69392249935269,0.72,1.5830689709298
155,0.52,7.89,1.17,2.2263435312793,0.55,1.85411668995336
30,0.71,22.42,3.78,4.26525521294582,0.8,3.12533689070563
79,0.35,13.63,3.14,3.73463340940503,0.39,2.21087422979735
56,0.52,19.66,1.74,3.27828277183456,0.8,3.37717285080386
104,0.63,8.34,2.14,2.54290246881828,0.67,1.56466056536254
130,0.45,5.94,3.07,2.84359469782072,0.77,1.75587272397048
29,0.7,24.37,2.05,3.69909657875978,0.91,4.17276360045453
154,0.56,8.87,1.26,2.41933924196574,0.77,1.97102903479756
55,0.54,21.56,2.14,3.34366728049207,0.57,3.17122917508963
78,0.36,13.53,2.15,2.92745837351333,0.41,2.55675106053009
129,0.56,5.92,3.35,2.84889416914177,0.61,1.72125079389499
28,1,25.1,3.425,5.62470398428733,1.04,5.51126410069137
103,0.63,8.82,2.8,3.00746032325142,0.67,1.67702772282117
77,0.4,13.71,3.54,3.47618603077964,0.44,2.49590351656154
54,0.73,16.23,2.34,3.23981196176034,0.78,2.37722088527706
153,0.58,8.05,1.34,2.34167907212026,1.28,1.66712576954264
27,1.03,23.21,1.56,3.20087667708143,1.56,3.86978151091381
102,0.64,8.09,1.62,2.08563502523383,0.71,1.46624700763151
152,0.62,9.86,2.09,3.01198407920259,1.9,1.92275340325614
76,0.45,10.38,4.31,3.90479777877641,0.53,2.81480985055544
26,1.1,29.9,4.77,5.35942380990997,1.39,3.7924426381252
151,0.64,8.72,2.39,2.82983676065296,2.35,1.6358191715601
128,0.58,9.03,1.96,2.34757457888644,1.96,1.547209537753
101,0.59,6.81,1.57,1.9996854315073,0.66,1.25746130052581
25,0.91,19.03,1.82,3.45786382341938,1.42,3.98823443471591
75,0.49,15.59,5.2,4.63695488464434,2.28,3.03089283072407
53,0.73,13.79,2.41,2.8649340951236,0.77,2.38196051458882
150,0.7,8.77,2.53,3.16969218491705,2.47,1.7712091704648
24,0.87,19.99,2.88,5.40442182239056,0.95,4.56417330440464
127,0.57,7.94,2.45,2.73129743636861,0.62,1.73087556826144
52,0.78,4.71,3.14,2.47339103704902,0.82,1.3113619053251
100,0.34,6.08,1.25,1.84362987087192,0.77,1.28362152339121
74,0.68,11.73,2.78,3.23254781574466,0.81,1.72427352805951
149,0.72,8.15,1.42,2.33962003343197,0.77,1.82689458987232
23,1.06,18.95,1.86,2.9971307671308,1.52,3.11404339309712
99,0.31,7.24,1.53,2.17574200376294,0.34,1.81079403045493

148,0.41,10.38,1.51,2.32716607799321,0.98,1.76976195025179
73,0.66,10.35,3.29,3.41170142145899,0.74,1.82357142488948
22,0.89,21.34,3.47,4.58637335265612,1,3.25130686502045
125,0.56,6.89,1.35,2.34974267275044,1.24,1.5611188637524
98,0.34,9.03,1.18,1.88331147330179,0.38,1.54820921833702
72,0.69,14.24,2.47,2.75914599917175,0.74,2.00137990255346
147,0.38,7.9,0.85,1.64631394761526,0.43,1.62864563147491
21,0.92,19.17,5.26,5.41624668556275,0.96,3.30643557193038
146,0.43,8.08,2.495,2.65578716789146,0.46,1.99686221299461
97,0.37,8.76,2.18,2.52123160710873,2.04,1.57221886012995
124,0.79,6.35,1.41,2.33172063537801,1.39,1.53975375831279
71,0.79,13.77,2.67,3.17615692754496,0.84,2.27743404865618
20,0.67,10.98,3.41,3.81777437550362,3.21,1.98184931533641
145,0.41,7.91,2.555,2.74875070661391,0.45,2.04276309154015
19,0.65,7.65,2.23,2.54821095571096,0.7,1.72574200292013
96,0.36,8.6,1.66,2.02986470885344,0.42,1.68202935500994
144,0.41,8.84,2.51,2.89421777840591,0.45,2.24415028392521
123,0.87,7.34,1.65,2.46866512485092,1.14,1.5760318816926
70,0.82,12.27,1.48,2.63066788878708,0.87,2.10669363405484
143,0.47,8.93,2.82,3.1923341106636,0.53,2.48872368277602
17,0.79,32.97,4.46,7.77616535727648,0.84,6.82301775715322
95,0.42,9.53,2.55,2.56537430490823,0.48,1.91901767582346

