SOL,MINIMUM,MAXIMUM,MEDIAN,MEAN,MODE,STD
82,752.84,838.5,811.85,797.902951314793,819.55,25.6983979888806
107,776.96,899.47,868.41,858.80107569721,867.09,26.2383442029302
157,859.47,959.68,947.16,929.815703939746,950.18,28.8046505961672
32,695.57,763.62,721.27,722.967018750001,695.82,23.9374671579639
132,826.1,937.91,913.66,894.618343666678,919.66,31.5641667744409
81,752.03,836.36,812.61,798.168050545332,818.4,24.1702459607528
106,773.82,897.38,850.25,842.13221523657,774.03,34.6225412357669
57,720.19,812.1,739.66,749.815028282828,720.37,27.1895931822443
156,862.35,963.01,947.32,929.835321725721,949.44,30.9075568659402
31,693.8,795.12,771.52,758.888982280781,772.74,27.6111640332412
80,749.49,836.98,815.42,801.075736061203,818.77,25.390390250715
131,827.18,934.48,903.67,893.089945868145,917.62,34.142818542504
105,774.58,895.79,845.34,841.81537088149,774.85,39.417271408663
155,855.66,959.37,925.245,916.827199870213,945.85,30.0084355764732
30,694.52,793.26,749.53,747.971840353885,772.69,25.7588750369583
79,748.09,835.71,816.39,801.451561887629,818.52,23.512000595198
56,719.39,812.33,753.48,758.189296609498,719.57,28.0622211721451
104,781.76,883.68,856.76,847.250976902565,858.82,27.6910410074281
130,823.58,935.94,904.7,893.408506912147,823.85,34.7949695148751
29,695.3,793.66,724.54,734.635078235294,695.47,28.2196076388608
154,856.27,961.6,927.935,917.247707178344,856.7,31.2847946107528
55,718.39,809.88,782.09,767.30302102359,782.7,30.3575382973687
78,747.68,834.04,791.76,789.814337434546,814.38,25.0618511277728
129,824.08,932.38,905.33,885.253865645992,911.57,36.0554422589694
28,694.58,791,749.84,745.277498611112,771.07,28.415875427465
103,783.57,870.39,855.63,842.947824644553,869.21,26.1386273739963
77,745.6,833.75,802.78,792.919394246698,813.74,25.5035216665042
54,717.14,809.45,781.44,767.777478090767,788.71,28.4056520429537
153,854.8,958.72,927.5,917.376067947145,934.68,31.1813495671411
27,694.11,789.74,740.17,740.806942624938,761.71,20.6209956670934
102,780.45,869.41,832.78,829.655304699797,861.05,25.5909636415277
152,848.25,962.17,915.095,912.259427674636,961.47,41.236426824205
76,745.68,833.27,805.46,792.586861807918,812.33,25.1405743829207
26,694.74,790.94,758.94,751.455171804752,770.39,20.2185297225027
151,854.23,959.65,927.765,921.300660364049,957.02,31.8125515576187
128,821.21,930.02,906.08,889.979188859265,929.71,31.2621561935438
101,776.09,872.59,824.78,825.095313110313,777.69,28.7138730675748
25,692.65,790.52,762.98,757.858611111111,790.02,25.8232738904512
75,743.8,830.21,806.57,793.503350550727,810.05,23.5389979251454
53,716.08,806.61,763.51,761.896285416562,760.47,25.0630870979858
150,850.65,961.32,940.03,924.2134460575,940.75,27.7769867604992
24,690.36,788.15,747.18,740.402980729166,769.65,30.4422839145746
