SOL,MINIMUM,MAXIMUM,MEDIAN,MEAN,MODE,STD
82,198.88,273.99,222.37,229.77140573192,204.16,23.5527969634171
107,204.29,269.11,214.6,225.405265125067,207.15,19.3601127213677
157,203.88,269.63,226.06,228.623111239861,229.11,17.5784230507965
32,209.31,271.57,233.15,232.833028125,233.52,14.9626889104332
132,199.64,266.83,226.36,228.038940537763,210.79,19.1502606949486
81,196.11,271.61,212.95,224.511881057385,205.58,20.7514585161505
106,205.15,264.69,221.79,227.096773696871,208.27,17.8196432359012
57,197.78,270.86,242.52,239.437427609427,232.86,20.5199246147364
156,199.77,272.22,224.96,229.113068842558,215.88,19.0190901559522
31,197.11,246.6,215.44,217.683325725978,215.32,15.0909265247681
80,199.17,270.65,212.19,224.611718442101,205.84,22.5327967078741
131,205.87,264.46,226.72,228.841039769705,207.47,19.2687731959059
105,206.85,266.81,227.06,231.897026910471,217.41,17.9792807020607
155,203.3,272.84,235.62,235.206311558151,224.5,18.2620050378809
30,197.17,270.75,219.43,224.071941577332,198.03,21.9580619414897
56,199.39,270.46,234.77,231.461953291709,200.81,19.6196395234616
79,200.45,272.47,221.56,223.393335474959,206.49,19.0167907356196
104,203.78,268.06,227.22,231.280363326801,215.21,19.2316486729087
130,198.31,263.01,220.88,226.671370882381,207.35,18.7304477518799
29,197.26,271.68,229.335,230.697822941176,210.24,18.2064998337912
154,201.69,269.97,235.845,233.223306573548,207.89,16.8844874026457
55,198.95,272.39,222.79,227.593446935841,209.77,19.6797272259919
78,196.31,273.7,229.21,234.029486009829,224.05,23.4121933923384
129,197.26,271.45,220.02,227.865491017028,209.31,21.4629758742199
28,197.45,258.12,224.395,224.952447222222,251,18.879637606118
103,204.71,270.89,221.83,227.046505650747,207.5,19.143661234813
77,200.98,273,219.46,229.096105195552,204.76,22.8427155042276
54,199.84,264.39,226.5,226.376940140845,204.35,19.2446449858606
153,205.28,275,236.345,232.773102751101,237.22,15.9973476045416
27,198.06,258.47,234,231.677970038816,230.7,15.2033417462132
102,204.04,270.21,236.89,236.694294709114,229.19,17.8520394324385
152,206.14,273.42,232.58,230.965854147188,236.99,16.6122311490997
76,192.63,272.76,212.345,224.927253480465,207.32,22.5968836093509
26,196.77,258.38,210.75,218.469015333976,208.73,16.7084166529248
151,202.56,269.5,228.17,230.313900804289,232.74,13.8743601158817
128,206.81,270.52,231.41,231.912292074914,214.89,16.307731613417
101,206.61,270.5,238.33,237.284976374976,208.05,18.0797514345083
25,197.3,262.02,220.305,223.610566666667,208.77,15.0840388126911
75,187.5,273.43,211.59,220.952300061572,204.97,19.3043666547428
53,203.34,268.41,228.17,230.984829553913,229,18.5187752364034
150,207.05,268.83,227.86,227.29577227441,210,14.7039824511282
24,195.63,266.49,222.025,227.0499125,200.99,25.8185856450204
127,201.15,272.6,226.175,229.965605448423,213.54,20.7212106172456
52,199.76,268.19,221.08,227.429675827411,212.84,20.0360683641307
100,206.39,272.65,240.72,237.477412395845,207.61,18.3282944507157
74,194.58,268.16,217.35,222.282953516014,204.78,18.2736655331983
149,205.13,273.02,239.81,237.626177198112,226.07,18.4104053431743
23,197.8,256.63,232.255,230.425926576577,230.84,12.19531511003
51,196.46,266.31,237.13,230.76799339179,237.7,18.8034470723199
99,204.82,271.95,238.36,235.893602708097,207.1,21.4103259837998

148,205.06,269.88,242.99,238.096624531835,215.68,17.7361718630278
73,195.51,273.31,217.63,222.605906337876,208.68,20.4099001560841
22,198.28,267.41,219.03,223.275479937234,204.47,19.4559402915781
50,199.3,263.04,212.08,220.372739131956,203.72,19.0155002126604
125,204.74,267.53,236.74,232.692360865815,223.81,15.9810962745857
98,202.11,272.38,241.36,237.823050210415,232.82,20.0370623393188
72,199.99,271.81,224.73,231.211188637617,204.3,20.9691876243125
147,201.53,271.72,247.71,243.635196481362,221.11,17.4493136940423
21,198.18,271.05,212.64,216.908465263634,209.44,14.2652125803879
49,199.25,263.77,227.71,230.362812162162,257.61,21.4705966728713
146,207.07,271.55,230.83,235.443224918866,215.15,20.3282824230952
97,205.87,269.88,228.52,230.436469268944,210.34,17.1593067217374
124,206.04,269.25,235.87,233.104706835115,206.94,16.2162096867466
71,201.06,271.34,222.835,230.51336089252,203.75,21.6806820979382
20,202.52,272.51,218.68,223.991235434956,218.26,17.6650474479671
145,206.1,272.25,229.96,235.035948215042,213.77,21.1880322288359
