SOL,TIMESTAMP,LMST,LTST,AMBIENT_TEMP,PRESSURE,HORIZONTAL_WIND_SPEED,VERTICAL_WIND_SPEED,WIND_DIRECTION,WS_CONFIDENCE_LEVEL,PRESSURE_UNCERTAINTY,VOLUME_MIXING_RATIO,LOCAL_RELATIVE_HUMIDITY
565,447604013,"00565M00:00:00.300","00565 00:17:49",200.48,846.39,,,,"     ",3.60,,
565,447604014,"00565M00:00:01.274","00565 00:17:50",200.45,846.22,,,,"     ",3.60,30.36,8.43
565,447604015,"00565M00:00:02.247","00565 00:17:51",200.42,846.32,,,,"     ",3.60,30.54,8.48
565,447604016,"00565M00:00:03.220","00565 00:17:52",200.39,846.26,,,,"     ",3.60,30.45,8.46
565,447604017,"00565M00:00:04.193","00565 00:17:53",200.36,846.23,,,,"     ",3.60,30.37,8.43
565,447604018,"00565M00:00:05.167","00565 00:17:53",200.33,846.29,,,,"     ",3.60,30.44,8.46
565,447604019,"00565M00:00:06.140","00565 00:17:54",200.31,846.23,,,,"     ",3.60,30.29,8.41
565,447604020,"00565M00:00:07.113","00565 00:17:55",200.28,846.19,,,,"     ",3.60,30.52,8.48
565,447604021,"00565M00:00:08.086","00565 00:17:56",200.25,846.28,,,,"     ",3.60,30.37,8.44
565,447604022,"00565M00:00:09.060","00565 00:17:57",200.23,846.34,,,,"     ",3.60,30.35,8.43
565,447604023,"00565M00:00:10.033","00565 00:17:58",200.20,846.20,,,,"     ",3.60,30.42,8.45
565,447604024,"00565M00:00:11.006","00565 00:17:59",200.18,846.33,,,,"     ",3.60,30.35,8.44
565,447604025,"00565M00:00:11.979","00565 00:18:00",200.16,846.42,,,,"     ",3.60,30.34,8.44
565,447604026,"00565M00:00:12.953","00565 00:18:01",200.16,846.36,,,,"     ",3.60,30.30,8.43
565,447604027,"00565M00:00:13.926","00565 00:18:02",200.13,846.34,,,,"     ",3.60,30.31,8.43
